,Unnamed: 0,Unnamed: 0.1,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant,description
46,4,4,MenuItem,Media botella de agua,Offer,1.2,EUR,Bebidas,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
47,5,5,MenuItem,Botella de vino,,,,Bebidas,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
48,6,6,MenuItem,Copa de vino,Offer,1.8,EUR,Bebidas,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
49,0,0,MenuItem,Ternera,,,,Pepitos 9.50€,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
50,1,1,MenuItem,Pollo,,,,Pepitos 9.50€,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
51,2,2,MenuItem,Chorizo,,,,Pepitos 9.50€,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
52,0,0,MenuItem,Arroz caldoso con bogavante,Offer,24.0,EUR,Arroces y pastas,8.9,"""Español""","""Calle de la Infanta Mercedes","""geo"":{""latitude"":40.454792,""longitude"":-3.6989494",Seducción a la Carta,
53,1,1,MenuItem,Tortelloni rellenos de foie con salsa de uva verde,Offer,24.0,EUR,Arroces y pastas,8.9,"""Español""","""Calle de la Infanta Mercedes","""geo"":{""latitude"":40.454792,""longitude"":-3.6989494",Seducción a la Carta,
54,2,2,MenuItem,Capelli rellenos de calabaza y salsa de melón y manzana,Offer,18.0,EUR,Arroces y pastas,8.9,"""Español""","""Calle de la Infanta Mercedes","""geo"":{""latitude"":40.454792,""longitude"":-3.6989494",Seducción a la Carta,
55,0,0,MenuItem,Nigiri de Salmón Flambeado,Offer,6.5,EUR,Nigiris (2 unidades),9.1,"""Japonés""","""Calle de Alcalá","""geo"":{""latitude"":40.4218559,""longitude"":-3.6828259",Maitake,
56,1,1,MenuItem,Nigiri de Pez Mantequilla,Offer,6.0,EUR,Nigiris (2 unidades),9.1,"""Japonés""","""Calle de Alcalá","""geo"":{""latitude"":40.4218559,""longitude"":-3.6828259",Maitake,
57,2,2,MenuItem,Nigiri de Toro,Offer,8.0,EUR,Nigiris (2 unidades),9.1,"""Japonés""","""Calle de Alcalá","""geo"":{""latitude"":40.4218559,""longitude"":-3.6828259",Maitake,
58,0,0,MenuItem,Cheesecake con frutos del bosque,,,,Postres caseros 4.90€,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
59,1,1,MenuItem,Tarta 3 leches,,,,Postres caseros 4.90€,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
60,2,2,MenuItem,Marquesa de Oreo,,,,Postres caseros 4.90€,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
61,3,3,MenuItem,Marquesa de mora,,,,Postres caseros 4.90€,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
62,0,0,MenuItem,Crema de calabaza,Offer,3.9,EUR,Entrante,9.1,None,"""Calle de Argumosa","""geo"":{""latitude"":40.4084188,""longitude"":-3.6991301",Tatema,
63,1,1,MenuItem,Alcachofas confitadas,Offer,4.9,EUR,Entrante,9.1,None,"""Calle de Argumosa","""geo"":{""latitude"":40.4084188,""longitude"":-3.6991301",Tatema,
64,2,2,MenuItem,Aguacate y tartar de gambón,Offer,4.9,EUR,Entrante,9.1,None,"""Calle de Argumosa","""geo"":{""latitude"":40.4084188,""longitude"":-3.6991301",Tatema,
65,0,0,MenuItem,Tequeños clásicos,Offer,7.5,EUR,Tequeños,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
