,product,price,type,rating,cuisine,restaurant,lat,log
80,tomates rosas infusionados en albahaca,14.3,entrante,9,español,con amor,40.440420773369,-3.6949000358582
81,tartar de atun con huevos rotos,20.0,entrante,9,español,con amor,40.440420773369,-3.6949000358582
82,tartar de salmon con marinada de jengibre,17.6,entrante,9,español,con amor,40.440420773369,-3.6949000358582
83,lomo bajo de ternera a la plancha (300 grs),18.0,plato,none,español,daily - miguel yuste,40.4350478,-3.62289
84,carrillera de ternera estofada al vermouth rojo,19.0,plato,none,español,daily - miguel yuste,40.4350478,-3.62289
85,secreto de cerdo iberico a baja temperatura,16.0,plato,none,español,daily - miguel yuste,40.4350478,-3.62289
86,cachopo asturiano individual,16.0,plato,none,español,daily - miguel yuste,40.4350478,-3.62289
87,hamburguesa de pollo en tempura (no lleva pan),14.0,plato,none,español,daily - miguel yuste,40.4350478,-3.62289
88,lomo de bacalao confitado,16.0,plato,none,español,daily - miguel yuste,40.4350478,-3.62289
89,brocheta de rape y langostinos a la plancha,16.0,plato,none,español,daily - miguel yuste,40.4350478,-3.62289
90,lamb tikka masala,13.95,plato,9.5,indio,saffron indian cuisine,40.5069836,-3.6552459
91,lamb karahi,13.95,plato,9.5,indio,saffron indian cuisine,40.5069836,-3.6552459
92,lamb shatkora,14.95,plato,9.5,indio,saffron indian cuisine,40.5069836,-3.6552459
93,daal gosht,13.95,plato,9.5,indio,saffron indian cuisine,40.5069836,-3.6552459
94,wantanmen,11.75,plato,8.7,japones,janatomo,40.4200447,-3.6989747
95,botella de champan,17.0,bebida,8.9,ruso,las noches de moscu,40.424892168471,-3.7043099403381
96,copa de champan,2.0,bebida,8.9,ruso,las noches de moscu,40.424892168471,-3.7043099403381
97,cafe,1.5,bebida,8.9,ruso,las noches de moscu,40.424892168471,-3.7043099403381
98,botella de agua,3.0,bebida,8.9,ruso,las noches de moscu,40.424892168471,-3.7043099403381
99,media botella de agua,2.0,bebida,8.9,ruso,las noches de moscu,40.424892168471,-3.7043099403381
100,botella de vino,11.0,bebida,8.9,ruso,las noches de moscu,40.424892168471,-3.7043099403381
101,copa de vino,2.0,bebida,8.9,ruso,las noches de moscu,40.424892168471,-3.7043099403381
102,nigiri de salmon flambeado,6.3,plato,9,asiatico,soi noodle madrid,40.4458991,-3.695571
103,nigiri pez mantequilla,5.85,plato,9,asiatico,soi noodle madrid,40.4458991,-3.695571
104,nigiri de salmon con mango,5.85,plato,9,asiatico,soi noodle madrid,40.4458991,-3.695571
105,merluza de pincho nacional,24.0,plato,8.7,español,la clave,40.4240038,-3.6840345
106,bacalao a la vizacaina con fondo de pil pil,22.0,plato,8.7,español,la clave,40.4240038,-3.6840345
107,"pixin (para dos personas, precio por persona)",22.0,plato,8.7,español,la clave,40.4240038,-3.6840345
108,cachopo de merluza,24.0,plato,8.7,español,la clave,40.4240038,-3.6840345
109,calamares en su tinta,18.0,plato,8.7,español,la clave,40.4240038,-3.6840345
110,tarta helada de nata y chocolate,6.0,postre,8.5,español,horno de juan argüelles,40.4376659,-3.7118891
111,ponche segoviano de yema y mazapan,6.0,postre,8.5,español,horno de juan argüelles,40.4376659,-3.7118891
112,tarta de santiago,6.0,postre,8.5,español,horno de juan argüelles,40.4376659,-3.7118891
113,sorbete de limon al cava,6.0,postre,8.5,español,horno de juan argüelles,40.4376659,-3.7118891
114,tarta casera de queso al horno con salsa de frambuesas,5.0,postre,8.8,español,la cozina,40.4612587,-3.6162406
115,tarta de doble chocolate con helado de violetas,5.0,postre,8.8,español,la cozina,40.4612587,-3.6162406
116,tarta de zanahorias tradicional con helado de chocolate,5.0,postre,8.8,español,la cozina,40.4612587,-3.6162406
117,aji de gallina,15.0,plato,8.9,peruano,kausa madrid,40.412811,-3.698338
118,seco a la norteña,17.0,plato,8.9,peruano,kausa madrid,40.412811,-3.698338
119,lomo saltado,17.0,plato,8.9,peruano,kausa madrid,40.412811,-3.698338
120,tacu tacu a lo pobre,17.0,plato,8.9,peruano,kausa madrid,40.412811,-3.698338
121,tacu tacu con salsa de mariscos,15.0,plato,8.9,peruano,kausa madrid,40.412811,-3.698338
122,tartar de salmon marinado con concase de tomate y aguacate,15.5,plato,8.5,none,cafe mies,40.4523569,-3.6989382
123,tartar de atun rojo de almadraba con aguacate y mango,17.5,plato,8.5,none,cafe mies,40.4523569,-3.6989382
124,rollito de lubina albardada en panceta ahumada y emulsion de piquillo,16.0,plato,8.5,none,cafe mies,40.4523569,-3.6989382
125,merluza en salsa marinera y langostinos o al gusto,17.0,plato,8.5,none,cafe mies,40.4523569,-3.6989382
126,bacalao confitado con chutney de verduras y cremoso de ajo,17.0,plato,8.5,none,cafe mies,40.4523569,-3.6989382
127,lomo de corvina con verduritas de temporada y crema de yuca al aceite de albahaca,18.0,plato,8.5,none,cafe mies,40.4523569,-3.6989382
128,tataki de atun rojo en costra negra y tostadas sobre wakame,17.5,plato,8.5,none,cafe mies,40.4523569,-3.6989382
129,sushi combinado: nigiri & maki mix (18 piezas),26.0,plato,9.3,japones,shuwa shuwa,40.4230426,-3.694125
130,maguro zuke don,18.0,plato,9.3,japones,shuwa shuwa,40.4230426,-3.694125
131,dragon roll,7.0,plato,9.3,japones,shuwa shuwa,40.4230426,-3.694125
132,una-don,18.0,plato,9.3,japones,shuwa shuwa,40.4230426,-3.694125
133,sashimi moriawase (10p),18.0,plato,9.3,japones,shuwa shuwa,40.4230426,-3.694125
134,sukiyaki (plato estrella de la casa),18.0,plato,9.3,japones,shuwa shuwa,40.4230426,-3.694125
135,escalera de sushi y sashimi,45.0,plato,9.3,japones,shuwa shuwa,40.4230426,-3.694125
136,la cafetera desestructuradora,9.0,entrante,9.1,none,oceanika madrid,40.4427874,-3.6819284
137,falsos churros con chocolate,9.0,entrante,9.1,none,oceanika madrid,40.4427874,-3.6819284
138,bloody mary transmutador,13.0,entrante,9.1,none,oceanika madrid,40.4427874,-3.6819284
139,tempura de langostino kataifi,9.0,entrante,9.1,none,oceanika madrid,40.4427874,-3.6819284
140,causa oceanika,14.0,entrante,9.1,none,oceanika madrid,40.4427874,-3.6819284
141,croquetas de cangrejo,8.0,entrante,9.1,none,oceanika madrid,40.4427874,-3.6819284
147,tarta de chocolate,5.9,postre,8.8,americano,hamburguesa nostra - cast...,40.4746087,-3.6875915
148,tarta de queso,5.9,postre,8.8,americano,hamburguesa nostra - cast...,40.4746087,-3.6875915
149,brownie,5.9,postre,8.8,americano,hamburguesa nostra - cast...,40.4746087,-3.6875915
150,carrot cake,5.9,postre,8.8,americano,hamburguesa nostra - cast...,40.4746087,-3.6875915
151,batidos,5.9,postre,8.8,americano,hamburguesa nostra - cast...,40.4746087,-3.6875915
152,brownie de chocolate y nueces,4.0,postre,8.9,mexicano,df bar torteria mexicana,40.4128966,-3.6992373
153,pancake con salsa de cajeta,4.0,postre,8.9,mexicano,df bar torteria mexicana,40.4128966,-3.6992373
154,"garlic chilly masala (cocinado con ajo, cebolla, pimientos y chile verdes frescos, tomate y cilantro)",12.5,plato,9.4,indio,shampan indian,40.4177183,-3.6716143
155,"methi taj mahal (salsa suave con especial y canela, anis con un plato de degustacion unico)",12.5,plato,9.4,indio,shampan indian,40.4177183,-3.6716143
156,"chasnidargh (cocinado con miel, vinagre balsamico, limon, salsa de sabor dulce, agrio y picante)",11.9,plato,9.4,indio,shampan indian,40.4177183,-3.6716143
157,"goan masala (salsa especial de goan, chiles secos y hoja de lima)",11.5,plato,9.4,indio,shampan indian,40.4177183,-3.6716143
158,"hyderabadi achari (cocinado con mixto encurtidos, especias y salsa suave)",11.5,plato,9.4,indio,shampan indian,40.4177183,-3.6716143
159,"delhi 69 (hoja de laurel, salsa de tomate, cebolla y salsa suave muy delicioso. recomendado con arroz blanco)",11.0,plato,9.4,indio,shampan indian,40.4177183,-3.6716143
160,mr. naga (cocinado con chile naga con salsa de masala caliente y sabor aji aromatico al curry. para los amantes del chile ),11.5,plato,9.4,indio,shampan indian,40.4177183,-3.6716143
