,Unnamed: 0,@type,name,description,type_of_plate,rating,cuisine,direction,restaurant
0,0,MenuItem,Platos a degustar,Tempura de langostinos Tiger \nGyozas de pollo y verduras \nMaki tempurizado a elegir (4 piezas) \nYakisoba de pollo o Udón de gambas\nPostres según temporada,Menú 2 25€,None,None,None,Sky Sushi & Ramen
1,1,MenuItem,Bebidas,"Agua, refresco, ceverza Brabante, Kirin, Saporo o copa de vino",Menú 2 25€,None,None,None,Sky Sushi & Ramen
