,Unnamed: 0,Unnamed: 0.1,@type,name,description,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,0,MenuItem,Entrantes uno por persona,"Salmorejo Negro helado de pimiento rojo y tacos de mojama, Flor de alcachofa confitada en aceite de oliva y marcadas a la plancha, Ceviche de corvina con aji amarillo,choclos y toque de orujo gallego",None,9.1,None,"""C","""geo"":{""latitude"":40.427633454339,""longitude"":-3.7039198875427246",La Fragua
1,1,1,MenuItem,Principal Carnes (a elegir),"Chuleton de vaca vieja para dos personas( 1 kilo aprox ) con patatas a la inglesa, Rabo de toro tradicional con arroz salteado con verduras",None,9.1,None,"""C","""geo"":{""latitude"":40.427633454339,""longitude"":-3.7039198875427246",La Fragua
2,2,2,MenuItem,Principal Pescados (a elegir ),"Bacalao confitado en aceite de carbón en falso pil pil, Tartar de Atún Rojo preparado al gusto del cliente con crema de aguacate con avellanas",None,9.1,None,"""C","""geo"":{""latitude"":40.427633454339,""longitude"":-3.7039198875427246",La Fragua
3,3,3,MenuItem,Postre,Frutas tropicales y roscón de reyes,None,9.1,None,"""C","""geo"":{""latitude"":40.427633454339,""longitude"":-3.7039198875427246",La Fragua
