,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Chicken,Offer,14.0,EUR,"Pahadi; Marinado con chili, ajo,jengibre, especias, hierbas y asado en el horno Tandoori.",8.9,"""Indio""","""Calle del Aviador Zorita","""geo"":{""latitude"":40.452092,""longitude"":-3.6979454",Lumbini Tandoori
1,1,MenuItem,Lamb,Offer,16.5,EUR,"Pahadi; Marinado con chili, ajo,jengibre, especias, hierbas y asado en el horno Tandoori.",8.9,"""Indio""","""Calle del Aviador Zorita","""geo"":{""latitude"":40.452092,""longitude"":-3.6979454",Lumbini Tandoori
2,2,MenuItem,Langostinos,Offer,18.5,EUR,"Pahadi; Marinado con chili, ajo,jengibre, especias, hierbas y asado en el horno Tandoori.",8.9,"""Indio""","""Calle del Aviador Zorita","""geo"":{""latitude"":40.452092,""longitude"":-3.6979454",Lumbini Tandoori
3,3,MenuItem,Paneer,Offer,15.5,EUR,"Pahadi; Marinado con chili, ajo,jengibre, especias, hierbas y asado en el horno Tandoori.",8.9,"""Indio""","""Calle del Aviador Zorita","""geo"":{""latitude"":40.452092,""longitude"":-3.6979454",Lumbini Tandoori
