,Unnamed: 0,@type,name,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Rigatoni con gambones,Contundentes,9.2,"""Mediterráneo""","""Calle de la Princesa","""geo"":{""latitude"":40.4257365,""longitude"":-3.7129657",Barona Madrid
1,1,MenuItem,Salmón,Contundentes,9.2,"""Mediterráneo""","""Calle de la Princesa","""geo"":{""latitude"":40.4257365,""longitude"":-3.7129657",Barona Madrid
2,2,MenuItem,Barona burger,Contundentes,9.2,"""Mediterráneo""","""Calle de la Princesa","""geo"":{""latitude"":40.4257365,""longitude"":-3.7129657",Barona Madrid
