,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,restaurant
0,0,MenuItem,Tartar de pez mantequilla con trufa,Offer,13.8,EUR,Entrante,None,None,None,Shintori
1,1,MenuItem,Gyoza - empanadillas de pollo y verdudas,Offer,5.8,EUR,Entrante,None,None,None,Shintori
2,2,MenuItem,Tempura de langostinos tigre,Offer,13.5,EUR,Entrante,None,None,None,Shintori
