,Unnamed: 0,@type,name,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Arrabiata,Pizzas y Piadinas,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
1,1,MenuItem,La Gallega,Pizzas y Piadinas,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
2,2,MenuItem,Don Carpaccio,Pizzas y Piadinas,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
3,3,MenuItem,La prosciutto e funghi,Pizzas y Piadinas,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
4,4,MenuItem,Tú y la trufa negra,Pizzas y Piadinas,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
5,5,MenuItem,Piadina Rimini,Pizzas y Piadinas,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
6,6,MenuItem,Piadina Forlivese,Pizzas y Piadinas,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
7,7,MenuItem,Pizza Margarita,Pizzas y Piadinas,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
8,8,MenuItem,Pizza prosciutto e rúcula,Pizzas y Piadinas,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
9,9,MenuItem,Pizza vegetal,Pizzas y Piadinas,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
10,10,MenuItem,Pizza contadina,Pizzas y Piadinas,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
11,11,MenuItem,Pizza quattro formaggi,Pizzas y Piadinas,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
12,12,MenuItem,Piadina Liscia,Pizzas y Piadinas,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
13,13,MenuItem,Focaccia,Pizzas y Piadinas,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
14,14,MenuItem,Spianata,Pizzas y Piadinas,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
