,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,restaurant
0,0,MenuItem,"Jamón Ibérico de Bellota, pan cristal y tomate",Offer,29,EUR,Epicerie Fine,None,None,None,Montmartre 1889 - Gran Me...
1,1,MenuItem,Zamburiñas gratinadas en Borgoña,Offer,25,EUR,Epicerie Fine,None,None,None,Montmartre 1889 - Gran Me...
2,2,MenuItem,Créme Brulée de foie y trufa con crujientes de semillas,Offer,18,EUR,Epicerie Fine,None,None,None,Montmartre 1889 - Gran Me...
