,Unnamed: 0,Unnamed: 0.1,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,0,MenuItem,"Merluza de Pincho a la Sidra con Langostinos, Almejas y Manzana",Offer,24.5,EUR,Pescados,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
1,1,1,MenuItem,Merluza de Pincho a la Brasa con Ajitos tostados,Offer,22.9,EUR,Pescados,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
2,2,2,MenuItem,Tacos de Merluza de Pincho frita con Salsa Tártara,Offer,22.9,EUR,Pescados,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
3,3,3,MenuItem,Cazuela de Rape a la Marinera,Offer,24.5,EUR,Pescados,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
4,4,4,MenuItem,Tronco de Rape asado con Ajitos sobre Verduras Naturales,Offer,22.9,EUR,Pescados,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
5,5,5,MenuItem,Brocheta de Rape y Langostinos sobre Piperrada de Pimientos Asados,Offer,22.9,EUR,Pescados,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
6,6,6,MenuItem,Bacalao al Pil-Pil Tradicional,Offer,21.9,EUR,Pescados,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
7,7,7,MenuItem,Bacalao a la Brasa con Ajitos y Pimientos Rojos Asados,Offer,21.9,EUR,Pescados,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
8,8,8,MenuItem,Bacalao al Horno,Offer,21.9,EUR,Pescados,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
9,9,9,MenuItem,Chipirones de Potera a la Plancha con sus Rejos,Offer,17.9,EUR,Pescados,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
