,Unnamed: 0,@type,name,description,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Aperitivo,Chupa Chups de langostino con mahonesa de soja,DIA DEL PADRE 40 €,9,"""Español""","""Calle de José Abascal","""geo"":{""latitude"":40.4384261,""longitude"":-3.7009928",Alma of Spain
1,1,MenuItem,Starter,Canelón estofado de Perdiz a la toledana con setas de temporada,DIA DEL PADRE 40 €,9,"""Español""","""Calle de José Abascal","""geo"":{""latitude"":40.4384261,""longitude"":-3.7009928",Alma of Spain
2,2,MenuItem,Main course,Tataki de Atún Rojo con tartar de tomate a la lima y helado de mostaza a la antigua,DIA DEL PADRE 40 €,9,"""Español""","""Calle de José Abascal","""geo"":{""latitude"":40.4384261,""longitude"":-3.7009928",Alma of Spain
3,3,MenuItem,2nd course,Chuleta de ternera (300 gr.) con pimientos de padrón y patatas,DIA DEL PADRE 40 €,9,"""Español""","""Calle de José Abascal","""geo"":{""latitude"":40.4384261,""longitude"":-3.7009928",Alma of Spain
4,4,MenuItem,Dulce,Corazón liquido de Chocolate con helado de jengibre,DIA DEL PADRE 40 €,9,"""Español""","""Calle de José Abascal","""geo"":{""latitude"":40.4384261,""longitude"":-3.7009928",Alma of Spain
