,Unnamed: 0,@type,name,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Elige hasta dos bases,Poke bowl (grande 12.90€),7.6,"""Internacional""","""Calle de Atocha","""geo"":{""latitude"":40.4093402,""longitude"":-3.693189",Wrapipans Bar
1,1,MenuItem,Elige proteína,Poke bowl (grande 12.90€),7.6,"""Internacional""","""Calle de Atocha","""geo"":{""latitude"":40.4093402,""longitude"":-3.693189",Wrapipans Bar
2,2,MenuItem,Elige toppings,Poke bowl (grande 12.90€),7.6,"""Internacional""","""Calle de Atocha","""geo"":{""latitude"":40.4093402,""longitude"":-3.693189",Wrapipans Bar
