,Unnamed: 0,@type,name,description,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Entrante,"Foul\nEnsalada de Habas procedentes de Siria, acompañada de tomate, cebolla, aceite y limón\nHummus\nCrema de garbanzos de salsa de sésamo y su original receta procedente del corazón de Siria. Uno de los tesoros del Aladino.\n\nMakmur\n Elaboración compuesta de pisto a base de berenjenas, tomate, cebolla y pimiento\nFalafel\nCroqueta árabe a base de garbanzo, con especias de comino y cilantro",Menú Especial,9.1,"""Árabe""","""Calle Duque de Liria","""geo"":{""latitude"":40.4260211,""longitude"":-3.7121263",Aladino
1,1,MenuItem,Plato,"Cous-Cous de Cordero\nPlato compuesto por sémola de trigo acompañada de bocados de carne de cordero, verdura y cebolla caramelizada\nCous-Cous de Pollo\nPlato compuesto por sémola de trigo acompañado de bocados de pollo de corral verdura y cebolla caramelizada\nPastela\nComposición de hojaldre con pollo, cebolla y almendra\nKabse\nArroz con carne de cordero o pollo asado al horno de carbón con azafrán, cardamomo, piñones y diferentes especias únicas. El plato principal de la gastronomía saudita\n\nTajín de Cordero\nPlato tradicional del norte de África, a base de Arroz con carne pollo asado al horno de carbón, con un guiso de champiñones, guisantes, zanahorias, azafrán en hebras y agua de azahar\n Tajín de Pollo\nArroz con carne pollo asado al horno de carbón, con un guiso a base de champiñones, guisantes, zanahorias, azafrán en hebras y agua de azahar\nMaklube\nPlato de arroz en matrimonio con carne, berenjenas y almendras, el tesoro oculto del Aladino.",Menú Especial,9.1,"""Árabe""","""Calle Duque de Liria","""geo"":{""latitude"":40.4260211,""longitude"":-3.7121263",Aladino
2,2,MenuItem,Postre,"Pastelería Árabe\nColección de pasteles elaborados a base de masa fina de hojaldres bañadas en un halo de almíbar, miel y distintas variedades de frutos secos.\nTé árabe\nTé elaborado con manojo de hojas de té reposadas con gotas de azahar con su particular estilo Aladino",Menú Especial,9.1,"""Árabe""","""Calle Duque de Liria","""geo"":{""latitude"":40.4260211,""longitude"":-3.7121263",Aladino
3,3,MenuItem,Bebida,"VINO , CERVEZA O REFRESCO.",Menú Especial,9.1,"""Árabe""","""Calle Duque de Liria","""geo"":{""latitude"":40.4260211,""longitude"":-3.7121263",Aladino
