,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,restaurant
0,0,MenuItem,Tarta del día casera,Offer,4.5,EUR,Postre,None,None,None,La Tasquita de Pereira
1,1,MenuItem,Flan casero,Offer,3.5,EUR,Postre,None,None,None,La Tasquita de Pereira
2,2,MenuItem,Arroz con leche,Offer,3.5,EUR,Postre,None,None,None,La Tasquita de Pereira
